query_type,query,total_results,negative_rating_count,precision
attribute_query,personalized eagle blanket,20,18,0.1
attribute_query,stainless steel body hair removal blades,20,17,0.15
attribute_query,Jack Black body lotion,20,0,1.0
attribute_query,kiehl body wash,20,16,0.2
attribute_query,Percy Jackson hardcover box set,20,0,1.0
attribute_query,4-piece comic brush pen set,20,13,0.35
attribute_query,construction building set,20,0,1.0
attribute_query,12×16 Christmas tree canvas poster,20,17,0.15
attribute_query,clean simple eats Pet Supplements,20,0,1.0
attribute_query,tan-white cordless blackout shade (30×64),20,17,0.15
attribute_query,stretch chino pants in black,20,0,1.0
attribute_query,reusable dustproof Christmas bottle bag,20,19,0.05
attribute_query,vidaxl console table smoked oak color,20,0,1.0
attribute_query,Passiflora cotton seat cushion,20,18,0.1
attribute_query,silver cubic zirconia ring,20,0,1.0
attribute_query,light-blue grommet-top curtain panels,20,1,0.95
attribute_query,cuup demi bra,20,0,1.0
attribute_query,converse denim sneakers,20,3,0.85
attribute_query,11.5” girl doll wardrobe with clothes & accessories,20,12,0.4
attribute_query,white duck-down comforter (king),20,6,0.7
attribute_query,duvet cover with zippers,20,16,0.2
attribute_query,180 000 rpm electric air blower,20,19,0.05
attribute_query,20cm electric foam cutter,20,19,0.05
attribute_query,temu floral embroidery complete,20,19,0.05
attribute_query,pink embroidery stickers,20,19,0.05
attribute_query,24K gold hydra-gel eye patches,20,18,0.1
attribute_query,Callaway Paradym Ai Smoke fairway wood,20,16,0.2
attribute_query,Clearwater Orvis fly rod,20,16,0.2
attribute_query,riparcover foundation cream,20,12,0.4
attribute_query,5 lb growler gas refill,20,19,0.05
attribute_query,christmas sweater for women with reindeer ,20,0,1.0
attribute_query,4mm glass beads,20,11,0.45
attribute_query,Titleist Pro V1 2023 golf balls,20,4,0.8
attribute_query,military bear golf headcover,20,19,0.05
attribute_query,graduate tailored jeans size 32,20,16,0.2
attribute_query,jogger pants for women small,20,14,0.3
attribute_query,boy tshirt red size 10,20,16,0.2
attribute_query,youth baseball catcher’s knee savers,20,16,0.2
attribute_query,telescopic ladder with extension,20,15,0.25
attribute_query,5 pcs leather sectional,20,9,0.55
attribute_query,"65"" loveseat",20,18,0.1
attribute_query,"1/4"" magnetic bit sets ",20,15,0.25
attribute_query,daniele alessandrini homme shirt,20,12,0.4
attribute_query,red havana Giorgio Armani eyeglasses,20,19,0.05
attribute_query,black Converse men’s glasses,20,11,0.45
attribute_query,brown Asian-fit men’s glasses,20,0,1.0
attribute_query,tortoiseshell men’s glasses,20,0,1.0
attribute_query,ergonomic refillable metal pen,20,1,0.95
attribute_query,M3 nuts and bolts set,20,0,1.0
attribute_query,2-player bashminton set,20,15,0.25
attribute_query,dog harness single size,20,0,1.0
attribute_query,multi functional pliers,20,2,0.9
attribute_query,temu polishing machine grinding,20,0,1.0
attribute_query,reusable bag for gifts,20,3,0.85
attribute_query,compact and portable safe,20,1,0.95
attribute_query,dog jacket medium size,20,0,1.0
attribute_query,ratchet wrench set,20,0,1.0
attribute_query,long stemmed roses,20,8,0.6
attribute_query,sky blue microfiber sheet set (queen),20,0,1.0
attribute_query,nylon sling bag,20,0,1.0
attribute_query,holographic deluxe spinner lure,20,0,1.0
attribute_query,idaho vandals decal,20,0,1.0
attribute_query,ted baker sunglasses,20,0,1.0
attribute_query,cotton tablecloth,20,0,1.0
attribute_query,disassembly/reassembly tissue holder,20,12,0.4
attribute_query,tamper proof torx key set,20,0,1.0
attribute_query,pull-back RMZ City toy car,20,0,1.0
attribute_query,Ninja Turtles PizzaFire van with pizza thrower,20,15,0.25
attribute_query,plush weights for toddlers,20,12,0.4
attribute_query,DIY tshirt decal,20,0,1.0
attribute_query,"tv stand 55""",20,3,0.85
attribute_query,"1/4"" twist tool",20,17,0.15
attribute_query,4-port USB wall charger,20,13,0.35
attribute_query,white wall shelves,20,4,0.8
attribute_query,sika design monique side chair,20,3,0.85
attribute_query,4pcs wicker chat set brown,20,9,0.55
attribute_query,yellow Rodenstock women’s glasses,20,0,1.0
attribute_query,wooden puzzles with animal shapes,20,19,0.05
attribute_query,decorated wooden sign,20,8,0.6
attribute_query,kong chicken flavored,20,0,1.0
attribute_query,puppy nylon mesh carrier green,20,13,0.35
attribute_query,bird stand white,20,0,1.0
attribute_query,vinyl coated reel line,20,0,1.0
attribute_query,3pcs cat toy set,20,4,0.8
attribute_query,high density filter sponge,20,18,0.1
attribute_query,pee mat puppy training,20,0,1.0
attribute_query,14oz kanteen mug,20,0,1.0
attribute_query,stainless wick cutter,20,0,1.0
attribute_query,l shape computer desk,20,0,1.0
attribute_query,heart shaped sticky notes,20,0,1.0
attribute_query,A5 notebook,20,0,1.0
attribute_query,3 layer rolling cart,20,0,1.0
attribute_query,hanging calendar for 2025,20,0,1.0
attribute_query,birthday themed wrapping paper,20,0,1.0
attribute_query,prank gifts for birthdays,20,0,1.0
natural_query,Solid teak Adirondack lounge chair with ottoman,20,0,1.0
natural_query,gray and ivory 4×6 area rug for living room,20,13,0.35
natural_query,left-hand Shimano Curado baitcasting reel for freshwater fishing,20,15,0.25
natural_query,bathroom vanity with 2 cabinet for busy households,20,0,1.0
natural_query,comfortable blanket for soft beds,20,1,0.95
natural_query,blankets that can be personalized for gifts,20,2,0.9
natural_query,best hypoallergenic body hair removal blades,20,10,0.5
natural_query,hydrating Jack Black lotion for dry skin,20,0,1.0
natural_query,body wash for men that smells good,20,15,0.25
natural_query,boxed Percy Jackson & the Olympians hardcover collection set,20,0,1.0
natural_query,comic illustration brush pen set for artists,20,13,0.35
natural_query,building blocks set for creative STEM play,20,0,1.0
natural_query,festive Christmas tree canvas poster for home or office decor,20,7,0.65
natural_query,Clean Simple Eats Super Greens Pet Supplements fast delivery,20,0,1.0
natural_query,cordless blackout cellular shade for bedroom windows,20,0,1.0
natural_query,best stretch chino pants for men,20,0,1.0
natural_query,universal-fit reusable Christmas astorage bag for bottles & decor,20,0,1.0
natural_query,vidaXL Console Table Smoked Oak suitable for small spaces,20,11,0.45
natural_query,supportive Passiflora cotton cushion for dining chairs,20,18,0.1
natural_query,cheap cubic zirconia ring,20,6,0.7
natural_query,light-blue blackout curtain panels with grommets,20,3,0.85
natural_query,everyday t-shirt bra,20,0,1.0
natural_query,platform denim sneaker for everyday wear,20,8,0.6
natural_query,"complete girl doll wardrobe set with dresses, shoes, and accessories",20,13,0.35
natural_query,fluffy white duck-down comforter for cold winters,20,15,0.25
natural_query,soft and comfortable duvet covers,20,5,0.75
natural_query,heavy-duty electric air duster for electronics cleaning,20,18,0.1
natural_query,Electric Cutter with fast delivery,20,9,0.55
natural_query,Floral Embroidery Kit for beginners,20,20,0.0
natural_query,embroidery stickers for backpacks and jeans,20,18,0.1
natural_query,lift and firm eye patches infused with 24K gold,20,19,0.05
natural_query,high-performance Callaway Paradym fairway wood for golfers,20,14,0.3
natural_query,Orvis Clearwater fly rod for freshwater trout fishing,20,15,0.25
natural_query,long-lasting foundation cream in biscuit shade,20,2,0.9
natural_query,deluxe 5 lb growler gas refill for camp stoves,20,19,0.05
natural_query, cozy holiday pullover with lights and reindeer for christmas parties,20,0,1.0
natural_query,4mm glass beads for crafting,20,13,0.35
natural_query,premium Titleist Pro V1 golf balls for tournament play,20,13,0.35
natural_query,novelty military bear headcover for golf drivers,20,19,0.05
natural_query,AG Graduate Tailored Jeans 32 ideal for travel,20,17,0.15
natural_query,women jogger pants for running,20,0,1.0
natural_query,best tshirts for boys in size 10,20,7,0.65
natural_query,protective catcher’s knee saver pads for youth baseball,20,17,0.15
natural_query,light weight telescopic ladder for home use,20,16,0.2
natural_query,stylish leather sectional for living room,20,12,0.4
natural_query,loveseat suitable for small spaces,20,11,0.45
natural_query,robust magnetic nut driver set for home use,20,16,0.2
natural_query,Daniele Alessandrini Homme Man Shirt that are light in color,20,13,0.35
natural_query,stylish red-havana Armani eyeglasses for daily wear,20,19,0.05
natural_query,black Converse glasses with blue-light protection,20,16,0.2
natural_query,blue-light blocking Asian-fit glasses for men,20,0,1.0
natural_query,blue-light blocking glasses for seniors,20,0,1.0
natural_query,personalized metal pen with quick-drying ink,20,2,0.9
natural_query,full set of metric nuts and bolts,20,6,0.7
natural_query,multi-player outdoor bashminton set for backyard fun,20,10,0.5
natural_query,no pull dog harness for training,20,0,1.0
natural_query,pliers for stripping wires,20,1,0.95
natural_query,easy to use gemstone polishing machine,20,17,0.15
natural_query,christmas themed reusable gift bags,20,0,1.0
natural_query,small safe for dorm rooms,20,12,0.4
natural_query,dog jacket for rain,20,0,1.0
natural_query,ratchet wrench set for hobby use,20,0,1.0
natural_query,roses for same day delivery,20,0,1.0
natural_query,soft sky-blue queen microfiber sheets for hot sleepers,20,0,1.0
natural_query,nylon sling bag for women,20,0,1.0
natural_query,holographic fishing spinner lure for bass,20,0,1.0
natural_query,cheap idaho vandal fan merch,20,0,1.0
natural_query,stylish sunglasses for men in gold color,20,0,1.0
natural_query,durable cotton tablecloth for dining tables,20,0,1.0
natural_query,best modular tissue holder for bathroom organization,20,3,0.85
natural_query,torx key set that are temper proof and fits in my pocket,20,0,1.0
natural_query,children’s RMZ City pull-back toy car for kid’s play,20,0,1.0
natural_query,TMNT PizzaFire toy van with pizza-throwing action for kids,20,13,0.35
natural_query,plush weights for toddlers to play with,20,0,1.0
natural_query,iron on tshirt decals easy to use,20,0,1.0
natural_query,"strong tv stand to support 55"" tv",20,0,1.0
natural_query,"tool for stripping and twisting nuts 1/4""",20,8,0.6
natural_query,compact 4-port USB charger for smartphones and tablets,20,8,0.6
natural_query,white wall shelves that are easy to install,20,3,0.85
natural_query,Side Chair that goes well with a light color living room,20,4,0.8
natural_query,wicker chat set with comfortable seating,20,3,0.85
natural_query,blue-light blocking glasses under $100,20,0,1.0
natural_query,wooden puzzles for kids age 2-4,20,12,0.4
natural_query,wooden sign for bathroom decoration,20,4,0.8
natural_query,toys to keep dogs busy,20,0,1.0
natural_query,Nylon Mesh Carrier suitable for small animals in green,20,18,0.1
natural_query,bird stands under $50,20,0,1.0
natural_query,durable reel line for cold weather,20,0,1.0
natural_query,cheap cat toys 3pcs,20,0,1.0
natural_query,cheap filter sponge,20,0,1.0
natural_query,pee mat for large dogs,20,0,1.0
natural_query,kanteen mugs that are easy to carry around,20,0,1.0
natural_query,wick trimmer for crafting candles,20,0,1.0
natural_query,desk for office use,20,0,1.0
natural_query,cheap sticker notes for office use,20,0,1.0
natural_query,kids notebook for school,20,0,1.0
natural_query,mobile cart of laundry room,20,0,1.0
natural_query,hanging calendar for this year,20,0,1.0
natural_query,bulk variety wrapping paper,20,0,1.0
natural_query,funny gifts for kids,20,0,1.0
